user_id,top_ordered_item,avg_cart_item_count,preferred_category,order_party_type,user_region,restaurant_cuisine_type,restaurant_item_popularity,cart_total_value,cart_item_count,cart_cuisine_type,meal_time_segment,day_of_week_type,occasion_type,seasonal_preference,user_item_affinity,item_cooccurrence_score,user_category_affinity,item_price_tier,dietary_type,label_addon_added
78,Gulab Jamun,1,Desserts,solo,South_Delhi,Fast_Food,0.204,423,2,Desserts,dinner,weekday,none,summer,0.405,5,0.671,low,veg,1
105,Raita,1,North_Indian,solo,Gurgaon,Fast_Food,0.184,467,2,North_Indian,breakfast,weekday,none,summer,0.198,2,0.514,low,veg,0
34,Sambar,4,South_Indian,group,Gurgaon,Desserts,0.167,338,1,South_Indian,dinner,weekend,none,monsoon,0.602,1,0.321,medium,veg,1
107,Ice Cream,3,Desserts,group,West_Delhi,Desserts,0.645,356,1,Desserts,lunch,weekday,none,summer,0.189,2,0.314,low,dairy,0
12,Dosa,3,South_Indian,group,West_Delhi,North_Indian,0.374,328,1,South_Indian,dinner,weekend,none,monsoon,0.413,0,0.604,low,veg,0
0,Lassi,1,Beverages,solo,South_Delhi,Desserts,0.441,381,2,Beverages,breakfast,weekend,anniversary,summer,0.443,1,0.705,low,egg,0
176,Vada,2,South_Indian,solo,Navi_Mumbai,Desserts,0.345,502,3,South_Indian,lunch,weekday,festival,monsoon,0.612,0,0.743,low,egg,0
178,Paneer Tikka,3,North_Indian,group,Navi_Mumbai,South_Indian,0.295,440,2,North_Indian,lunch,weekday,none,summer,0.521,2,0.69,medium,egg,0
24,Gulab Jamun,2,Desserts,solo,South_Delhi,Fast_Food,0.136,350,1,Desserts,lunch,weekday,none,winter,0.291,2,0.402,high,veg,0
46,Butter Chicken,1,North_Indian,solo,Gurgaon,Fast_Food,0.56,420,2,North_Indian,lunch,weekday,none,summer,0.346,0,0.662,low,nonveg,0
83,Fried Rice,1,Chinese,solo,Navi_Mumbai,Beverages,0.474,377,2,Chinese,lunch,weekday,none,summer,0.178,5,0.768,low,veg,1
107,Brownie,3,Desserts,group,West_Delhi,Desserts,0.259,357,2,Desserts,dinner,weekday,none,winter,0.253,3,0.547,medium,nonveg,0
156,Kheer,2,Desserts,solo,Navi_Mumbai,Beverages,0.106,437,1,Desserts,breakfast,weekday,none,summer,0.167,3,0.823,medium,veg,0
118,Rasgulla,3,Desserts,group,Noida,Chinese,0.418,315,1,Desserts,breakfast,weekend,festival,summer,0.326,1,0.232,low,nonveg,0
152,Milkshake,1,Beverages,solo,Navi_Mumbai,North_Indian,0.395,485,3,Beverages,dinner,weekday,none,summer,0.317,1,0.824,medium,veg,0
22,Pizza,1,Fast_Food,solo,South_Delhi,South_Indian,0.089,414,2,Fast_Food,dinner,weekend,festival,monsoon,0.59,0,0.25,low,veg,1
27,Lassi,2,Beverages,solo,Navi_Mumbai,Fast_Food,0.267,571,4,Beverages,lunch,weekend,none,summer,0.133,1,0.756,low,veg,0
163,Gulab Jamun,2,Desserts,solo,West_Delhi,South_Indian,0.267,515,4,Desserts,dinner,weekday,none,summer,0.129,3,0.502,medium,veg,0
158,Ice Cream,1,Desserts,solo,South_Delhi,Chinese,0.368,336,1,Desserts,lunch,weekday,none,summer,0.35,3,0.2,low,nonveg,0
188,Sandwich,2,Fast_Food,solo,South_Delhi,Fast_Food,0.386,509,3,Fast_Food,lunch,weekday,none,winter,0.314,0,0.67,high,veg,1
162,Idli,2,South_Indian,solo,South_Delhi,Chinese,0.265,605,4,South_Indian,dinner,weekday,none,summer,0.766,5,0.513,low,veg,1
8,Fried Rice,2,Chinese,solo,West_Delhi,South_Indian,0.1,437,2,Chinese,dinner,weekday,none,winter,0.631,5,0.639,high,veg,0
96,Pizza,2,Fast_Food,solo,Navi_Mumbai,North_Indian,0.178,548,3,Fast_Food,breakfast,weekend,none,winter,0.29,6,0.272,medium,nonveg,0
111,Chilli Paneer,1,Chinese,solo,South_Delhi,Beverages,0.409,348,2,Chinese,lunch,weekend,none,monsoon,0.126,3,0.305,high,nonveg,0
180,Sandwich,1,Fast_Food,solo,West_Delhi,Beverages,0.214,264,1,Fast_Food,lunch,weekend,none,monsoon,0.373,0,0.209,medium,veg,1
112,Dal Makhani,3,North_Indian,group,Gurgaon,North_Indian,0.282,490,3,North_Indian,dinner,weekday,none,summer,0.382,4,0.379,medium,veg,1
112,Dal Makhani,3,North_Indian,group,Gurgaon,Chinese,0.096,360,1,North_Indian,lunch,weekday,none,monsoon,0.128,6,0.662,low,dairy,1
171,Chilli Paneer,1,Chinese,solo,Gurgaon,North_Indian,0.229,561,4,Chinese,lunch,weekend,none,summer,0.238,0,0.378,low,egg,0
60,Kheer,1,Desserts,solo,Noida,South_Indian,0.272,320,1,Desserts,lunch,weekend,festival,winter,0.354,0,0.457,low,veg,0
5,Raita,1,North_Indian,solo,Navi_Mumbai,Fast_Food,0.176,366,2,North_Indian,dinner,weekday,none,winter,0.256,1,0.622,medium,dairy,0
